Township ,Region        ,last_update      ,lat      ,long      ,new-cases ,deaths ,recovered ,active
Accra    ,Greater Accra ,03/20/2020 23:44 ,5.550000 ,-0.020000 ,2         ,0      ,0         ,1
Tema     ,Greater Accra ,03/20/2020 23:44 ,5.666667 ,0.000000  ,0         ,0      ,0         ,0
Obuasi   ,Ahanti        ,03/20/2020 23:44 ,6.201207 ,-1.691251 ,1         ,0      ,0         ,1
