Township,Region,last_update,lat,long,new-cases,deaths,recovered,active
Accra,Greater Accra,03/31/2020 23:27,5.550000,-0.020000,9,0,1,0
Tema,Greater Accra,03/31/2020 23:27,5.666667,0.000000,0,0,0,0
Obuasi,Ahanti,03/31/2020 23:27,6.201207,-1.691251,0,0,0,0
Kumasi,Ahanti,03/31/2020 23:27,6.700071,-1.630783,0,0,0,0
Wa,Upper West,03/31/2020 23:27,10.06069,-2.50192,0,0,0,0
Tamale,Northern,03/31/2020 23:27,9.432919,-0.848452,0,0,0,0
