Township,Region,last_update,lat,long,new-cases,deaths,recovered,active
Accra,Greater Accra,04/03/2020 17:35,5.550000,-0.020000,0,0,0,0
Tema,Greater Accra,04/03/2020 17:35,5.666667,0.000000,0,0,0,0
Obuasi,Ahanti,04/03/2020 17:35,6.201207,-1.691251,0,0,0,0
Kumasi,Ahanti,04/03/2020 17:35,6.700071,-1.630783,0,0,0,0
Wa,Upper West,04/03/2020 17:35,10.06069,-2.50192,0,0,0,0
Tamale,Northern,04/03/2020 17:35,9.432919,-0.848452,0,0,0,0
Kpong,Eastern,04/03/2020 17:35,6.1149,0.0578,0,0,0,0
Bolgatanga,Upper East,04/03/2020 17:53,10.78556,-0.85139,1,0,0,0
