Township ,Region        ,last_update      ,lat      ,long      ,new-cases ,deaths ,recovered ,active
Accra    ,Greater Accra ,03/21/2020 23:14 ,5.550000 ,-0.020000 ,2         ,1      ,0         ,0
Tema     ,Greater Accra ,03/21/2020 23:14 ,5.666667 ,0.000000  ,0         ,0      ,0         ,0
Obuasi   ,Ahanti        ,03/21/2020 23:14 ,6.201207 ,-1.691251 ,0         ,0      ,0         ,0
