Township ,Region        ,last_update      ,lat ,long ,new-cases ,deaths ,recovered ,active
Accra    ,Greater Accra ,03/23/2020 23:14 ,    ,     ,3         ,1      ,0         ,0
Tema     ,Greater Accra ,03/23/2020 23:14 ,    ,     ,0         ,0      ,0         ,0
Obuasi   ,Ahanti        ,03/23/2020 23:14 ,    ,     ,0         ,0      ,0         ,0
